scope,aggregation,evaluation_date,seed,arm,evaluation_rows_including_seeds,HR@10,HR@20,HR@30,HR@4,HR@8,NDCG@10,NDCG@20,NDCG@30,NDCG@4,NDCG@8
overall,equal_date_seed,,,Graph_Qwen,172122,0.05570566143329187,0.08323489334426043,0.10344016694207925,0.029590065650984026,0.04833477208423519,0.02894465537154644,0.03587251964882502,0.04017018851109548,0.020191266717013816,0.02676683474797193
overall,equal_date_seed,,,Desc_Qwen,172122,0.0686989287838991,0.09970138887314665,0.12164772665070696,0.03887270186767687,0.06038767026994481,0.03675879154535411,0.04456587403698157,0.04923445255416744,0.0267538651323277,0.03430280754641048
overall,equal_date_seed,,,Metadata,172122,0.06721513113241932,0.09761156606846208,0.11841021576103622,0.03800271897140708,0.05919088129745567,0.03583306162718162,0.04347719666829007,0.04790110137693615,0.026018215198372458,0.03346253042121178
sensitivity,event_weighted_seed,,,Graph_Qwen,172122,0.055669815595914524,0.0833943365752199,0.1037461800350914,0.029473280580053683,0.04824484958343501,0.028904467485125297,0.03588099666648051,0.04020844998209151,0.020128678897670615,0.02671090034559868
sensitivity,event_weighted_seed,,,Desc_Qwen,172122,0.06862574220610962,0.10003369702885163,0.12232602456397207,0.038722534016569644,0.06030606197929376,0.036666156826792126,0.044573842825663165,0.04931631716995095,0.026634444462773466,0.03420777238718327
sensitivity,event_weighted_seed,,,Metadata,172122,0.06811447694077456,0.09917384180987904,0.12015314718629809,0.038530809542069,0.05999233102101997,0.036312226026603125,0.044122408666768684,0.048584559149105755,0.02636989891777965,0.03391281872917919
date,equal_seed,2022-09-05,,Graph_Qwen,18660,0.0537513397642015,0.07802786709539121,0.09839228295819936,0.027063236870310824,0.04667738478027867,0.0276273391312994,0.033738848258289045,0.038067410423494034,0.01861693829092181,0.025529286284049293
date,equal_seed,2022-09-05,,Desc_Qwen,18660,0.06736334405144695,0.09780278670953912,0.11993569131832797,0.03944265809217578,0.058896034297963556,0.03691501644089734,0.04457211725896294,0.049274094685137035,0.02761328221552106,0.03441483495940721
date,equal_seed,2022-09-05,,Metadata,18660,0.06296891747052519,0.08831725616291533,0.1097534833869239,0.03612004287245445,0.05530546623794212,0.033983830603801946,0.04035856848271891,0.04492302368058825,0.024962888301339393,0.03171922244715098
date,equal_seed,2022-09-06,,Graph_Qwen,19356,0.05166356685265551,0.07692705104360405,0.09480264517462286,0.02805331680099194,0.04427567679272577,0.027022161401727016,0.03340559297734122,0.03721393532929233,0.019142265052503726,0.024844547138501545
date,equal_seed,2022-09-06,,Desc_Qwen,19356,0.07186402149204381,0.0998656747261831,0.11985947509816078,0.041330853482124404,0.06349452366191362,0.03858042379635094,0.0456765918372471,0.04992948350417177,0.028282078678966923,0.03610175268038056
date,equal_seed,2022-09-06,,Metadata,19356,0.05915478404629056,0.0887063442860095,0.10746021905352346,0.034666253358131845,0.051715230419508165,0.03301550316459137,0.04042185257704749,0.0444161258303802,0.024877074354415888,0.03081800947477536
date,equal_seed,2022-09-07,,Graph_Qwen,19737,0.05948219080914019,0.08734863454425698,0.10629781628413638,0.032021077164716014,0.05218624917667325,0.031158337111515035,0.038175004687350876,0.04220926755814733,0.021932256189403636,0.029000838578938492
date,equal_seed,2022-09-07,,Desc_Qwen,19737,0.06900744794041648,0.10001519987840098,0.12119369711708973,0.039975680194558445,0.06074884734255459,0.037398288831752266,0.04519925646089494,0.049711596892070144,0.027715151167353905,0.034954638457379145
date,equal_seed,2022-09-07,,Metadata,19737,0.0725540862339768,0.10107919136646906,0.1221056898211481,0.041191670466636264,0.0649541470334904,0.038428303656813975,0.04560668256883839,0.05008055636657749,0.027839085977779388,0.03618717373281602
date,equal_seed,2022-09-08,,Graph_Qwen,21480,0.04860335195530726,0.07569832402234637,0.09450651769087523,0.026350093109869646,0.04278398510242086,0.024790047920375924,0.03156886686303788,0.03558825987725823,0.017301508319042407,0.02307166620262769
date,equal_seed,2022-09-08,,Desc_Qwen,21480,0.05707635009310987,0.08258845437616387,0.10013966480446927,0.03067970204841713,0.050418994413407824,0.029320581937499257,0.03574314995503474,0.03946829381933672,0.02038783514250527,0.027356067861317848
date,equal_seed,2022-09-08,,Metadata,21480,0.05502793296089386,0.08147113594040968,0.0984171322160149,0.02984171322160149,0.04818435754189944,0.02809648516462822,0.03478290017111311,0.03838711726033321,0.019658621867597457,0.026070342984344536
date,equal_seed,2022-09-09,,Graph_Qwen,34380,0.04930191972076789,0.07388016288539849,0.09316463059918557,0.025363583478766723,0.0424956369982548,0.02531583420035864,0.031496392588586455,0.03559024740292776,0.017306191347764358,0.02330522191538771
date,equal_seed,2022-09-09,,Desc_Qwen,34380,0.060209424083769635,0.09034322280395579,0.11090750436300174,0.03397324025596277,0.053083187899941826,0.032377089071467184,0.03997577437061707,0.04435147789904533,0.02353616765482657,0.030272945413676755
date,equal_seed,2022-09-09,,Metadata,34380,0.0651541593949971,0.09621873182082606,0.11553228621291449,0.03842350203606748,0.05762070971495055,0.03579373773156114,0.04360514810073833,0.04771434209049093,0.026827714205565727,0.033566662569738066
date,equal_seed,2022-09-10,,Graph_Qwen,33738,0.05762048728436777,0.0885055427114826,0.1099946647696959,0.029403047009307015,0.04941016064971249,0.02972112014391644,0.03749395387732886,0.04205729723589368,0.020291950298283217,0.027296379304351644
date,equal_seed,2022-09-10,,Desc_Qwen,33738,0.07330013634477443,0.10880905803544964,0.13578161123955185,0.0407255913213587,0.06405240381765369,0.038511687334285186,0.047430089819942255,0.05316871894384745,0.02762144781667659,0.035776074801945064
date,equal_seed,2022-09-10,,Metadata,33738,0.07744975991463632,0.11340328413065386,0.1371746991522912,0.04318572529491968,0.06829094789258403,0.04072859452005038,0.04975911608869673,0.0548179484771883,0.029181200667966013,0.03802577877074054
date,equal_seed,2022-09-11,,Graph_Qwen,24771,0.06951677364660289,0.10225667110734327,0.1269226111178394,0.038876105122926004,0.06051431108958056,0.03697774769163263,0.045228978289840745,0.050464901750655,0.026747757521177577,0.03431990381194716
date,equal_seed,2022-09-11,,Desc_Qwen,24771,0.08207177748173267,0.11848532558233418,0.14371644261434743,0.04598118767914093,0.07201970045617859,0.044208453405226535,0.05336413855617195,0.05873750213556363,0.032121093250443565,0.04124333865076678
date,equal_seed,2022-09-11,,Metadata,24771,0.07819627790561544,0.11408501877195107,0.13842800048443746,0.042590125550038355,0.06826531024181502,0.04078497654882426,0.04980610868887756,0.05496859593299463,0.028780921013943306,0.03785052296891695
seed,equal_date,,42,Graph_Qwen,57374,0.05475986433201987,0.08158542667070212,0.10109583010673416,0.02992361590445897,0.04808297899087768,0.02895977118113367,0.03572864183380536,0.03987942864268883,0.02062925691405183,0.026983009211389183
seed,equal_date,,42,Desc_Qwen,57374,0.06618713257284033,0.09779250088280364,0.11964146873563909,0.03705221625930759,0.05779967781850307,0.03543797224363295,0.043411806906334637,0.04805734435324839,0.02570509057579917,0.03295995462683617
seed,equal_date,,42,Metadata,57374,0.06674542377370887,0.09799795261457396,0.11947058915594046,0.03775671512846488,0.058814474940940886,0.03533917168846435,0.043201859391055884,0.04777184178170336,0.02559208565399985,0.03299539401335789
seed,equal_date,,43,Graph_Qwen,57374,0.05713423628670908,0.08299992158122463,0.10284924437733114,0.03057350128877227,0.049674574523125195,0.02970646645267089,0.036213673573449755,0.04043350744077714,0.020808195921485688,0.027504090892253648
seed,equal_date,,43,Desc_Qwen,57374,0.06887899838965725,0.0992501145035557,0.12125892902029418,0.039037367210877166,0.060714333706620674,0.036858792616715715,0.04448871940993092,0.04917470777456705,0.02682826273456949,0.03444551528585008
seed,equal_date,,43,Metadata,57374,0.06655423202567079,0.09688073848472338,0.11792449274991508,0.03641307809706845,0.05798650765500174,0.035220815743426816,0.042860433768583825,0.04733562174183838,0.025121899010882548,0.032690891739304104
seed,equal_date,,44,Graph_Qwen,57374,0.055222883681146626,0.08511933178085451,0.10637542634217242,0.028273079759720834,0.04724676273870273,0.02816772848083476,0.03567524353921993,0.04019762944982048,0.019136347315503937,0.02581340414027297
seed,equal_date,,44,Desc_Qwen,57374,0.07103065538919978,0.10206155123308067,0.12404278219618763,0.040528522132845884,0.0626489992847107,0.03797960977571364,0.04579709579467915,0.05047130553468688,0.027728242086614435,0.03550295272654518
seed,equal_date,,44,Metadata,57374,0.06834573759787829,0.0979560071060889,0.1178355653772531,0.03983836368868791,0.0607716612964244,0.03693919744965367,0.04436929684523051,0.048595840607266697,0.02734066093023496,0.03470130551097334
